Symbol,Name,DesignationDate,Reason
1420,태원물산,2026-08-13,시가총액 미달
1470,삼부토건,2025-04-01,"상장폐지 사유의 발생,회생절차개시신청,반기검토의견 의견거절"
1527,동양2우B,2026-08-27,종류주식 시가총액 미달
1570,금양,2026-08-18,"반기검토의견 의견거절,보고서 미제출(반기보고서),상장폐지 사유의 발생"
1770,SHD,2026-06-26,시가총액 미달
2360,SH에너지화학,2026-08-05,시가총액 미달
2410,범양건영,2026-01-07,"회생절차개시신청,반기검토의견 의견거절,상장폐지 사유의 발생"
2787,진흥기업2우B,2026-08-10,종류주식 시가총액 미달
2820,SUN&L,2026-08-13,시가총액 미달
4270,남성,2026-08-13,시가총액 미달
4415,서울식품우,2026-07-14,종류주식 시가총액 미달
5030,부산주공,2025-05-22,자본잠식(자본금의 50/100이상 잠식)
5110,한창,2024-08-16,"반기검토의견 의견거절,상장폐지 사유의 발생"
5320,온타이드,2026-08-13,"주가 미달(동전주),시가총액 미달"
6200,한국전자홀딩스,2026-08-13,시가총액 미달
6490,프리티,2026-04-08,자본잠식(자본금의 50/100이상 잠식)
7110,일신석재,2026-08-13,주가 미달(동전주)
8600,윌비스,2026-08-14,"상장폐지 사유의 발생,반기검토의견 의견거절"
9440,KC그린홀딩스,2025-03-21,"반기검토의견 의견거절,상장폐지 사유의 발생"
11000,진원생명과학,2026-08-18,"자본잠식(자본금의 50/100이상 잠식),반기검토의견 의견거절"
11155,CJ씨푸드1우,2026-07-20,종류주식 시가총액 미달
11810,STX,2026-08-18,"회생절차개시신청,상장폐지 사유의 발생,반기검토의견 의견거절"
12170,아센디오,2026-08-04,시가총액 미달
14160,대영포장,2026-08-13,주가 미달(동전주)
15020,이스타코,2026-08-18,"상장폐지 사유의 발생,반기검토의견 의견거절"
15260,에이엔피,2026-08-14,"주가 미달(동전주),시가총액 미달"
17040,광명전기,2026-08-18,"상장폐지 사유의 발생,반기검토의견 의견거절"
19490,엑시큐어하이트론,2026-08-18,"반기검토의견 의견거절,자본잠식(자본금의 50/100이상 잠식)"
24890,대원화성,2026-08-13,시가총액 미달
36420,콘텐트리중앙,2026-08-18,"회생절차개시신청,반기검토의견 의견거절"
44380,주연테크,2026-07-21,시가총액 미달
69460,대호에이엘,2026-08-18,"반기검토의견 의견거절,상장폐지 사유의 발생"
84680,이월드,2026-08-20,주가 미달(동전주)
93240,형지엘리트,2026-08-13,주가 미달(동전주)
145210,다이나믹디자인,2026-03-24,"감사범위제한으로인한 감사의견한정,상장폐지 사유의 발생,시가총액 미달"
348950,제이알글로벌리츠,2026-05-18,"반기검토의견 의견거절,회생절차개시신청"
373790,KIWOOM 미국방어배당성장나스닥,2026-07-01,ETF 신탁원본액 및 순자산총액이 50억원 미만(반기말 현재)
454180,KIWOOM 차이나내수소비TOP CSI,2026-07-01,ETF 신탁원본액 및 순자산총액이 50억원 미만(반기말 현재)
1000,신라섬유,2026-08-20,주가 미달(동전주)
1840,이화공영,2026-04-02,"상장적격성 실질심사 대상 결정,상장폐지사유 발생"
2680,한탑,2026-08-13,시가총액 미달
8290,원풍물산,2026-07-03,"시가총액 미달,주가 미달(동전주)"
